"id","name_tc","description_tc","slug"
"2","美國-實質GDP絕對值","觀察 GDP 成長率時，我們建議同步觀察「絕對金額」的變化，年增率代表該經濟體的動能，而絕對金額代表該經濟體趨勢是否持續創高。

美國 GDP 目前佔全球比重 23 ~ 25%，是世界上最大也是最重要的經濟體。

","us-real-gdp"
"3","美國-耐久財新訂單","耐久財新訂單（Durable Goods Orders）是指「預計能被使用超過 3 年以上的商品」之訂單狀況，為美國普查局（U.S. Census Bureau）於每個月 25 日前後提供前月「製造業出貨、存貨與訂單報告（Manufactures’ Shipment, Inventories, and Orders）」裡非常重要的一項數據。由於製造商在擬定生產計畫前必須先有訂單，進而帶動生產，因此，耐久財新訂單被視為製造業景氣的領先指標。

在這份報告中，「耐久財」相對於「非耐久財」更備受關注，其原因為非耐久財（如衣服、食品）的需求變動不大且容易預測，因此真正值得留意、影響製造業景氣的是「耐久財訂單」。

耐久財訂單中又可細分成「運輸設備」如飛機採購、「國防設備」如軍機採購、「資本財」如企業機器、「一般消費性耐久財」如汽車、家電、電腦與電子產品等。

不過，由於耐久財訂單容易受到國防設備（軍機）、運輸設備（飛機）等金額龐大的訂單影響，波動較為劇烈，因此建議將這兩者扣除後再進行觀察。排除軍機、軍艦以及飛彈等非民間相關的「非國防資本財」，更是首要觀察的指標。","durable-goods"
"4","美國-零售銷售vs.汽車銷售","美國零售銷售額（Retail Sales）是由美國商務部普查局（U.S. Census Bureau）隨機抽樣 12,000 家企業所做的統計調查。其中，汽車銷售（含二手車）與維護佔整體零售銷售額約 20 ~ 22%，是評估美國經濟的關鍵風向球。

根據 NAICS Code 定義，汽車銷售主要業務包括：新舊車零售展示、週邊零組件銷售、售後服務與維修、車輛登記註冊與融資服務。而納入統計的車輛款式有：一般乘用轎車、運動型多功能休旅車、小型客貨車、輕型卡車。","retail-sales"
"5","美國-長短期公債利差vs.GDP年增率","長天期公債殖利率常被拿來檢視該國景氣通膨狀況，短天期則常被拿來預測該國利率決策，兩者利差可代表著景氣循環的四個階段：

1. 經濟成長階段：經濟活動強勁、通膨預期溫和，短利受央行升息影響上升較快，長短利差持續縮窄。

2. 經濟過熱階段：經濟活動過熱、通膨預期強勁，迫使央行加快升息導致短利超越長利，長短利差翻負。

3. 經濟衰退階段：通膨抑制消費，利率高檔引發違約風險，整體經濟轉弱，央行降息刺激經濟，短利快速下降，利差負值收斂翻正。

4. 經濟復甦階段：央行維持寬鬆，債券殖利率曲線維持穩定正斜率（長利大於短利），利差高檔持穩。","us-business-cycles"
"6","美國-非農vs.失業率","美國就業市場調查主要分為：企業端調查（CES）及電話問卷調查（CPS），非農就業人口數月增（以下簡稱非農月增）、失業率分屬於兩項調查。其中，非農月增變化可以觀察短期新增的就業動能，失業率則代表長期就業市場的趨勢。

經濟穩健、強勁時期，非農月增通常會落在 15 ~ 20 萬之間、失業率則會不斷降低。而當經濟步入衰退時，非農月增會率先翻負，接著失業率才開始回升，反映就業市場放緩的趨勢。","employment-condition"
"7","美國-ISM製造業&非製造業指數","美國製造業與非製造業廠商預期狀況，以50為基準點。","ism"
"8","美國-消費vs.就業","初次申請失業救濟金為就業領先指標，申請人越少，顯示就業狀況復甦良好，同時有利消費。","consumption-employment"
"9","美國-GDP各細項比重","美國為內需大國，消費佔 GDP 比重近七成。若消費穩定成長 2%，即可對 GDP 貢獻近 1.4 個百分點；反之，若消費狀況疲弱，則會較大幅度影響整體經濟表現。其餘細項佔 GDP 比重均不超過兩成。

","gdp-percentage"
"10","美國-消費者物價指數[CPI]","美國消費者物價指數（Consumer Price Index, CPI），是普遍用來觀察一國通膨的指標，同時也是各國央行制定貨幣政策的重要觀察數據。

美國聯準會的三大目標為：1. 促進最大就業；2. 穩定國內物價；3. 長期適當的利率。聯準會提出 2% 通膨的目標，並於多年以來重申至今，讓美國經濟在增長的同時，給予市場評估經濟是否過熱、聯邦基準利率是否合理的依據。

核心 CPI 則扣除價格波動較大的食品與能源項目，更能真實反映家庭單位購買大宗商品、服務價格的實際狀況，也能避免暫時性國際供需因素導致的波動，是市場更加關注的重點。

註：SA 、 NSA 分別為經季節性調整，以及非經季節性調整。經季節性調整排除每年固定的週期性因素，可以更清楚地觀察數據趨勢；而非經季節性調整則通常用於團體勞動合約、養老金計畫等實際支付條款中，也是美國勞動部新聞稿及市場常見使用的數據。","cpi"
"11","美國-房價指數(年增率)","從房價指數的年增率變化可以看出，美國房地產循環約 18 年一次，如 1990 、 2008 年的衰退均與房地產崩盤有關。

房價走勢也受升、降息影響，當聯準會啟動升息循環，美國房價漸受壓抑，整體房市年增動能趨緩，反之亦然。","house-condition"
